national_number,gen_numeric,gen,english_name,japanese_name,primary_type,secondary_type,classification,percent_male,percent_female,height_m,weight_kg,capture_rate,base_egg_steps,hp,attack,defense,sp_attack,sp_defense,speed,base_stat_total,abilities_0,abilities_1,abilities_2,abilities_hidden,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fighting,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy,is_sublegendary,is_legendary,is_mythical,evochain_0,evochain_1,evochain_2,evochain_3,evochain_4,evochain_5,evochain_6,Final evolution,is_final_evo,gigantamax,mega_evolution,mega_evolution_alt,description
16,1,I,Pidgey,Poppo,normal,flying,Tiny Bird Pokémon,50,50,0.3,1.8,255,3840,40,45,40,35,35,56,251,Keen Eye,Tangled Feet,,Big Pecks,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1,0,0,0,Pidgey,Level ,Pidgeotto,Level ,Pidgeot,,,Pidgeot,FALSE,,,,"Very docile. If attacked, it will often kick up sand to protect itself rather than fight back."
17,1,I,Pidgeotto,Pigeon,normal,flying,Bird Pokémon,50,50,1.1,30,120,3840,63,60,55,50,50,71,349,Keen Eye,Tangled Feet,,Big Pecks,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1,0,0,0,Pidgey,Level ,Pidgeotto,Level ,Pidgeot,,,Pidgeot,FALSE,,,,This Pokémon is full of vitality. It constantly flies around its large territory in search of prey.
18,1,I,Pidgeot,Pigeot,normal,flying,Bird Pokémon,50,50,1.5,39.5,45,3840,83,80,75,70,70,101,479,Keen Eye,Tangled Feet,,Big Pecks,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1,0,0,0,Pidgey,Level ,Pidgeotto,Level ,Pidgeot,,,Pidgeot,TRUE,,Mega Pidgeot,,"This Pokémon flies at Mach 2 speed, seeking prey. Its large talons are feared as wicked weapons."
19,1,I,Rattata,Koratta,normal,dark,Mouse Pokémon,50,50,0.3,3.5,255,3840,30,56,35,25,35,72,253,Run Away,Guts,,Hustle,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,0,0,0,Rattata,Level,Raticate,,,,,Raticate,FALSE,,,,"Will chew on anything with its fangs. If you see one, you can be certain that 40 more live in the area."
20,1,I,Raticate,Ratta,normal,dark,Mouse Pokémon,50,50,0.7,18.5,127,3840,55,81,60,50,70,97,413,Run Away,Guts,,Hustle,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,0,0,0,Rattata,Level,Raticate,,,,,Raticate,TRUE,,,,"Its hind feet are webbed. They act as flippers, so it can swim in rivers and hunt for prey."
21,1,I,Spearow,Onisuzume,normal,flying,Tiny Bird Pokémon,50,50,0.3,2,255,3840,40,60,30,31,31,70,262,Keen Eye,,,Sniper,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1,0,0,0,Spearow,Level ,Fearow,,,,,Fearow,FALSE,,,,"Inept at flying high. However, it can fly around very fast to protect its territory."
22,1,I,Fearow,Onidrill,normal,flying,Beak Pokémon,50,50,1.2,38,90,3840,65,90,65,61,61,100,442,Keen Eye,,,Sniper,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1,0,0,0,Spearow,Level ,Fearow,,,,,Fearow,TRUE,,,,"A Pokémon that dates back many years. If it senses danger, it flies high and away, instantly."
23,1,I,Ekans,Arbo,poison,,Snake Pokémon,50,50,2,6.9,255,5120,35,60,44,40,54,55,288,Intimidate,Shed Skin,,Unnerve,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5,0,0,0,Ekans,Level ,Arbok,,,,,Arbok,FALSE,,,,"The older it gets, the longer it grows. At night, it wraps its long body around tree branches to rest."
24,1,I,Arbok,Arbok,poison,,Cobra Pokémon,50,50,3.5,65,90,5120,60,95,69,65,79,80,448,Intimidate,Shed Skin,,Unnerve,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5,0,0,0,Ekans,Level ,Arbok,,,,,Arbok,TRUE,,,,The frightening patterns on its belly have been studied. Six variations have been confirmed.
25,1,I,Pikachu,Pikachu,electric,,Mouse Pokémon,50.2,49.8,0.4,6,190,2560,35,55,40,50,50,90,320,Static,,,Lightning Rod,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1,0,0,0,Pichu,Level Up with Happiness Value at 220,Pikachu,Use Thunder Stone,Raichu,,,Raichu,FALSE,Gigantamax Pikachu,,,Pikachu that can generate powerful electricity have cheek sacs that are extra soft and super stretchy.
26,1,I,Raichu,Raichu,electric,electric,Mouse Pokémon,50.2,49.8,0.8,30,75,2560,60,90,55,90,80,110,485,Static,Surge Surfer (Alola Form),,Lightning Rod,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1,0,0,0,Pichu,Level Up with Happiness Value at 220,Pikachu,Use Thunder Stone,Raichu,,,Raichu,TRUE,,,,Its long tail serves as a ground to protect itself from its own high-voltage power.
27,1,I,Sandshrew,Sand,ground,ice,Mouse Pokémon,50.2,49.8,0.6,12,255,5120,50,75,85,20,30,40,300,Sand Veil,,,Snow Cloak- Slush Rush,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1,0,0,0,Sandshrew,Level,Sandslash,,,,,Sandslash,FALSE,,,,"It loves to bathe in the grit of dry, sandy areas. By sand bathing, the Pokémon rids itself of dirt and moisture clinging to its body."
28,1,I,Sandslash,Sandpan,ground,ice,Mouse Pokémon,50.2,49.8,1,29.5,90,5120,75,100,110,45,55,65,450,Sand Veil,,,Snow Cloak- Slush Rush,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1,0,0,0,Sandshrew,Level,Sandslash,,,,,Sandslash,TRUE,,,,"The drier the area Sandslash lives in, the harder and smoother the Pokémon’s spikes will feel when touched."
29,1,I,Nidoran♀,Nidoran♀,poison,,Poison Pin Pokémon,0,100,0.4,7,235,5120,55,47,52,40,40,41,275,Poison Point,Rivalry,,Hustle,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5,0,0,0,Egg,When Female,Nidoran♀,Level 16,Nidorina,Use Moonstone,Nidoqueen,Nidoqueen,FALSE,,,,"Females are more sensitive to smells than males. While foraging, they’ll use their whiskers to check wind direction and stay downwind of predators."
30,1,I,Nidorina,Nidorina,poison,,Poison Pin Pokémon,0,100,0.8,20,120,5120,70,62,67,55,55,56,365,Poison Point,Rivalry,,Hustle,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5,0,0,0,Egg,When Female,Nidoran♀,Level 16,Nidorina,Use Moonstone,Nidoqueen,Nidoqueen,FALSE,,,,The horn on its head has atrophied. It’s thought that this happens so Nidorina’s children won’t get poked while their mother is feeding them.
31,1,I,Nidoqueen,Nidoqueen,poison,ground,Drill Pokémon,0,100,1.3,60,45,5120,90,92,87,75,85,76,505,Poison Point,Rivalry,,Sheer Force,1,1,2,0,1,2,0.5,0.25,2,1,2,0.5,0.5,1,1,1,1,0.5,0,0,0,Egg,When Female,Nidoran♀,Level 16,Nidorina,Use Moonstone,Nidoqueen,Nidoqueen,TRUE,,,,"Nidoqueen is better at defense than offense. With scales like armor, this Pokémon will shield its children from any kind of attack."
32,1,I,Nidoran♂,Nidoran♂,poison,,Poison Pin Pokémon,100,0,0.5,9,235,5120,46,57,40,40,40,50,273,Poison Point,Rivalry,,Hustle,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5,0,0,0,Egg,When Male,Nidoran♂,Level 16,Nidorino,Use Moonstone,Nidoking,Nidoking,FALSE,,,,"The horn on a male Nidoran’s forehead contains a powerful poison. This is a very cautious Pokémon, always straining its large ears."
33,1,I,Nidorino,Nidorino,poison,,Poison Pin Pokémon,100,0,0.9,19.5,120,5120,61,72,57,55,55,65,365,Poison Point,Rivalry,,Hustle,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5,0,0,0,Egg,When Male,Nidoran♂,Level 16,Nidorino,Use Moonstone,Nidoking,Nidoking,FALSE,,,,"With a horn that’s harder than diamond, this Pokémon goes around shattering boulders as it searches for a moon stone."
34,1,I,Nidoking,Nidoking,poison,ground,Drill Pokémon,100,0,1.4,62,45,5120,81,102,77,85,75,85,505,Poison Point,Rivalry,,Sheer Force,1,1,2,0,1,2,0.5,0.25,2,1,2,0.5,0.5,1,1,1,1,0.5,0,0,0,Egg,When Male,Nidoran♂,Level 16,Nidorino,Use Moonstone,Nidoking,Nidoking,TRUE,,,,"When it goes on a rampage, it’s impossible to control. But in the presence of a Nidoqueen it’s lived with for a long time, Nidoking calms down."
35,1,I,Clefairy,Pippi,fairy,,Fairy Pokémon,24.9,75.1,0.6,7.5,150,2560,70,45,48,60,65,35,323,Cute Charm,Magic Guard,,Friend Guard,1,1,1,1,1,1,0.5,2,1,1,1,0.5,1,1,0,0.5,2,1,0,0,0,Cleffa,Level Up with Happiness Value at 220,Clefairy,Use Moon Stone,Clefable,,,Clefable,FALSE,,,,It is said that happiness will come to those who see a gathering of Clefairy dancing under a full moon.
36,1,I,Clefable,Pixy,fairy,,Fairy Pokémon,24.9,75.1,1.3,40,25,2560,95,70,73,95,90,60,483,Cute Charm,Magic Guard,,Unaware,1,1,1,1,1,1,0.5,2,1,1,1,0.5,1,1,0,0.5,2,1,0,0,0,Cleffa,Level Up with Happiness Value at 220,Clefairy,Use Moon Stone,Clefable,,,Clefable,TRUE,,,,"A timid fairy Pokémon that is rarely seen, it will run and hide the moment it senses people."
37,1,I,Vulpix,Rokon,fire,ice,Fox Pokémon,24.9,75.1,0.6,9.9,190,5120,38,41,40,50,65,65,299,Flash Fire,,,Snow Cloak- Snow Warning,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,0,0,0,Vulpix,Use Fire Stone,Ninetales,,,,,Ninetales,FALSE,,,,"While young, it has six gorgeous tails. When it grows, several new tails are sprouted."
38,1,I,Ninetales,Kyukon,fire,ice,Fox Pokémon,24.9,75.1,1.1,19.9,75,5120,73,76,75,81,100,100,505,Flash Fire,,,Snow Cloak- Snow Warning,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,0,0,0,Vulpix,Use Fire Stone,Ninetales,,,,,Ninetales,TRUE,,,,"It is said to live 1,000 years, and each of its tails is loaded with supernatural powers."
39,1,I,Jigglypuff,Purin,normal,fairy,Balloon Pokémon,24.9,75.1,0.5,5.5,170,2560,115,45,20,45,25,20,270,Cute Charm,Competitive,,Friend Guard,1,1,1,1,1,1,1,2,1,1,1,0.5,1,0,0,0.5,2,1,0,0,0,Igglybuff,Level Up with Happiness Value at 220,Jigglypuff,Use Moon Stone,Wigglytuff,,,Wigglytuff,FALSE,,,,"Jigglypuff has top-notch lung capacity, even by comparison to other Pokémon. It won’t stop singing its lullabies until its foes fall asleep."
40,1,I,Wigglytuff,Pukurin,normal,fairy,Balloon Pokémon,24.9,75.1,1,12,50,2560,140,70,45,85,50,45,435,Cute Charm,Competitive,,Frisk,1,1,1,1,1,1,1,2,1,1,1,0.5,1,0,0,0.5,2,1,0,0,0,Igglybuff,Level Up with Happiness Value at 220,Jigglypuff,Use Moon Stone,Wigglytuff,,,Wigglytuff,TRUE,,,,"The more air it takes in, the more it inflates. If opponents catch it in a bad mood, it will inflate itself to an enormous size to intimidate them."
41,1,I,Zubat,Zubat,poison,flying,Bat Pokémon,50.2,49.8,0.8,7.5,255,3840,40,45,35,30,40,55,245,Inner Focus,,,Infiltrator,1,1,1,2,0.25,2,0.25,0.5,0,1,2,0.25,2,1,1,1,1,0.5,0,0,0,Zubat,Level ,Golbat,Level Up with Happiness Value at 220,Crobat,,,Crobat,FALSE,,,,"It emits ultrasonic waves from its mouth to check its surroundings. Even in tight caves, Zubat flies around with skill."
42,1,I,Golbat,Golbat,poison,flying,Bat Pokémon,50.2,49.8,1.6,55,90,3840,75,80,70,65,75,90,455,Inner Focus,,,Infiltrator,1,1,1,2,0.25,2,0.25,0.5,0,1,2,0.25,2,1,1,1,1,0.5,0,0,0,Zubat,Level ,Golbat,Level Up with Happiness Value at 220,Crobat,,,Crobat,FALSE,,,,"It loves to drink other creatures’ blood. It’s said that if it finds others of its kind going hungry, it sometimes shares the blood it’s gathered."
43,1,I,Oddish,Nazonokusa,grass,poison,Weed Pokémon,50.2,49.8,0.5,5.4,255,5120,45,50,55,75,65,30,320,Chlorophyll,,,Run Away,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5,0,0,0,Oddish,Level,Gloom,Use Leaf Stone,Vileplume,Use Sun Stone,Bellossom,Bellossom,FALSE,,,,"If exposed to moonlight, it starts to move. It roams far and wide at night to scatter its seeds."
44,1,I,Gloom,Kusaihana,grass,poison,Weed Pokémon,50.2,49.8,0.8,8.6,120,5120,60,65,70,85,75,40,395,Chlorophyll,,,Stench,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5,0,0,0,Oddish,Level,Gloom,Use Leaf Stone,Vileplume,Use Sun Stone,Bellossom,Bellossom,FALSE,,,,Its pistils exude an incredibly foul odor. The horrid stench can cause fainting at a distance of 1.25 miles.
45,1,I,Vileplume,Ruffresia,grass,poison,Flower Pokémon,50.2,49.8,1.2,18.6,45,5120,75,80,85,110,90,50,490,Chlorophyll,,,Effect Spore,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5,0,0,0,Oddish,Level,Gloom,Use Leaf Stone,Vileplume,,,Vileplume,TRUE,,,,"It has the world’s largest petals. With every step, the petals shake out heavy clouds of toxic pollen."
46,1,I,Paras,Paras,bug,grass,Mushroom Pokémon,50,50,0.3,5.4,190,5120,35,70,55,45,55,25,285,Effect Spore,Dry Skin,,Damp,1,4,0.5,0.5,0.25,2,0.5,2,0.25,4,1,2,2,1,1,1,1,1,0,0,0,Paras,Level ,Parasect,,,,,Parasect,FALSE,,,,Burrows under the ground to gnaw on tree roots. The mushrooms on its back absorb most of the nutrition.
47,1,I,Parasect,Parasect,bug,grass,Mushroom Pokémon,50,50,1,29.5,75,5120,60,95,80,60,80,30,405,Effect Spore,Dry Skin,,Damp,1,4,0.5,0.5,0.25,2,0.5,2,0.25,4,1,2,2,1,1,1,1,1,0,0,0,Paras,Level ,Parasect,,,,,Parasect,TRUE,,,,The bug host is drained of energy by the mushroom on its back. The mushroom appears to do all the thinking.
48,1,I,Venonat,Kongpang,bug,poison,Insect Pokémon,50,50,1,30,190,5120,60,55,50,40,55,45,305,Compound Eyes,Tinted Lens,,Run Away,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5,0,0,0,Venonat,Level ,Venomoth,,,,,Venomoth,FALSE,,,,"Its large eyes act as radar. In a bright place, you can see that they are clusters of many tiny eyes."
49,1,I,Venomoth,Morphon,bug,poison,Poison Moth Pokémon,50,50,1.5,12.5,75,5120,70,65,60,90,75,90,450,Shield Dust,Tinted Lens,,Wonder Skin,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5,0,0,0,Venonat,Level ,Venomoth,,,,,Venomoth,TRUE,,,,The powdery scales on its wings are hard to remove from skin. They also contain poison that leaks out on contact.
50,1,I,Diglett,Digda,ground,ground,Mole Pokémon,50.2,49.8,0.2,0.8,255,5120,10,55,25,35,45,95,265,Sand Veil,Arena Trap,,Sand Force,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1,0,0,0,Diglett,Level,Dugtrio,,,,,Dugtrio,FALSE,,,,"If a Diglett digs through a field, it leaves the soil perfectly tilled and ideal for planting crops."
51,1,I,Dugtrio,Dugtrio,ground,ground,Mole Pokémon,50.2,49.8,0.7,33.3,50,5120,35,100,50,50,70,120,425,Sand Veil,Arena Trap,,Sand Force,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1,0,0,0,Diglett,Level,Dugtrio,,,,,Dugtrio,TRUE,,,,A team of Diglett triplets. It triggers huge earthquakes by burrowing 60 miles underground.
52,1,I,Meowth,Nyarth,normal,dark,Scratch Cat Pokémon,50.2,49.8,0.4,4.2,255,5120,40,45,35,40,40,90,290,Pickup,Technician,,Unnerve,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,0,0,0,Meowth,Level,Persian,,,,,Persian,FALSE,Gigantamax Meowth,,,"It loves to collect shiny things. If it’s in a good mood, it might even let its Trainer have a look at its hoard of treasures."
53,1,I,Persian,Persian,normal,dark,Classy Cat Pokémon,50.2,49.8,1,32,90,5120,65,70,60,65,65,115,440,Limber,Technician,,Unnerve,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,0,0,0,Meowth,Level,Persian,,,,,Persian,TRUE,,,,"Getting this prideful Pokémon to warm up to you takes a lot of effort, and it will claw at you the moment it gets annoyed."
54,1,I,Psyduck,Koduck,water,,Duck Pokémon,50.2,49.8,0.8,19.6,190,5120,50,52,48,65,50,55,320,Damp,Cloud Nine,,Swift Swim,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,0,0,0,Psyduck,Level ,Golduck,,,,,Golduck,FALSE,,,,"Psyduck is constantly beset by headaches. If the Pokémon lets its strange power erupt, apparently the pain subsides for a while."
55,1,I,Golduck,Golduck,water,,Duck Pokémon,50.2,49.8,1.7,76.6,75,5120,80,82,78,95,80,85,500,Damp,Cloud Nine,,Swift Swim,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,0,0,0,Psyduck,Level ,Golduck,,,,,Golduck,TRUE,,,,"This Pokémon lives in gently flowing rivers. It paddles through the water with its long limbs, putting its graceful swimming skills on display."
56,1,I,Mankey,Mankey,fighting,,Pig Monkey Pokémon,50,50,0.5,28,190,5120,40,80,35,35,45,70,305,Vital Spirit,Anger Point,,Defiant,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2,0,0,0,Mankey,Level ,Primeape,,,,,Primeape,FALSE,,,,An agile Pokémon that lives in trees. It angers easily and will not hesitate to attack anything.
57,1,I,Primeape,Okorizaru,fighting,,Pig Monkey Pokémon,50,50,1,32,75,5120,65,105,60,60,70,95,455,Vital Spirit,Anger Point,,Defiant,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2,0,0,0,Mankey,Level ,Primeape,,,,,Primeape,TRUE,,,,It stops being angry only when nobody else is around. To view this moment is very difficult.
58,1,I,Growlithe,Gardie,fire,,Puppy Pokémon,75.49,24.51,0.7,19,190,5120,55,70,45,70,50,60,350,Intimidate,Flash Fire,,Justified,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,0,0,0,Growlithe,Use Fire Stone,Arcanine,,,,,Arcanine,FALSE,,,,It has a brave and trustworthy nature. It fearlessly stands up to bigger and stronger foes.
59,1,I,Arcanine,Windie,fire,,Legendary Pokémon,75.49,24.51,1.9,155,75,5120,90,110,80,100,80,95,555,Intimidate,Flash Fire,,Justified,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,0,0,0,Growlithe,Use Fire Stone,Arcanine,,,,,Arcanine,TRUE,,,,"The sight of it running over 6,200 miles in a single day and night has captivated many people."
60,1,I,Poliwag,Nyoromo,water,,Tadpole Pokémon,50.2,49.8,0.6,12.4,255,5120,40,50,40,40,40,90,300,Water Absorb,Damp,,Swift Swim,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,0,0,0,Poliwag,Level,Poliwhirl,Use Water Stone,Poliwrath,Trade with  King's Rock,Politoed,Politoed,FALSE,,,,"For Poliwag, swimming is easier than walking. The swirl pattern on its belly is actually part of the Pokémon’s innards showing through the skin."
61,1,I,Poliwhirl,Nyorozo,water,,Tadpole Pokémon,50.2,49.8,1,20,120,5120,65,65,65,50,50,90,385,Water Absorb,Damp,,Swift Swim,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,0,0,0,Poliwag,Level,Poliwhirl,Use Water Stone,Poliwrath,Trade with  King's Rock,Politoed,Politoed,FALSE,,,,Staring at the swirl on its belly causes drowsiness. This trait of Poliwhirl’s has been used in place of lullabies to get children to go to sleep.
